Date,High,Low,Open,Close,Volume,Adj Close
2017-12-08,7425.0,7300.0,7400.0,7375.0,9393400.0,6053.78271484375
2017-12-11,7425.0,7350.0,7400.0,7375.0,6757400.0,6053.78271484375
2017-12-12,7400.0,7275.0,7350.0,7350.0,12214700.0,6033.26123046875
2017-12-13,7475.0,7325.0,7350.0,7475.0,18456700.0,6135.86767578125
2017-12-14,7675.0,7475.0,7475.0,7525.0,15601800.0,6176.91015625
2017-12-15,7525.0,7400.0,7525.0,7450.0,16750900.0,6115.3466796875
2017-12-18,7500.0,7375.0,7400.0,7500.0,9181300.0,6156.38916015625
2017-12-19,7700.0,7475.0,7500.0,7650.0,15706100.0,6279.5166015625
2017-12-20,7700.0,7425.0,7650.0,7550.0,14606300.0,6197.43115234375
2017-12-21,7600.0,7475.0,7525.0,7600.0,10857700.0,6238.47412109375
2017-12-22,7625.0,7575.0,7600.0,7625.0,4686000.0,6258.99560546875
2017-12-25,7625.0,7625.0,7625.0,7625.0,0.0,6258.99560546875
2017-12-26,7625.0,7625.0,7625.0,7625.0,0.0,6258.99560546875
2017-12-27,7625.0,7575.0,7625.0,7625.0,3274600.0,6258.99560546875
2017-12-28,7700.0,7600.0,7650.0,7700.0,10295800.0,6320.5595703125
2017-12-29,7775.0,7600.0,7700.0,7625.0,12848100.0,6258.99560546875
2018-01-01,7625.0,7625.0,7625.0,7625.0,0.0,6258.99560546875
2018-01-02,7700.0,7550.0,7650.0,7550.0,6875700.0,6197.43115234375
2018-01-03,7700.0,7600.0,7600.0,7650.0,11532300.0,6279.5166015625
2018-01-04,7725.0,7600.0,7650.0,7725.0,6861700.0,6341.080078125
2018-01-05,7700.0,7625.0,7700.0,7675.0,8060200.0,6300.03759765625
2018-01-08,7875.0,7700.0,7700.0,7850.0,13357200.0,6443.6875
2018-01-09,7850.0,7775.0,7825.0,7825.0,13531800.0,6423.16552734375
2018-01-10,7875.0,7800.0,7875.0,7825.0,9997600.0,6423.16552734375
2018-01-11,7875.0,7750.0,7800.0,7875.0,5038700.0,6464.20849609375
2018-01-12,7900.0,7800.0,7875.0,7850.0,8527900.0,6443.6875
2018-01-15,7875.0,7775.0,7850.0,7800.0,2802200.0,6402.64453125
2018-01-16,7900.0,7775.0,7800.0,7900.0,15046200.0,6484.72998046875
2018-01-17,7975.0,7875.0,7900.0,7950.0,13872400.0,6525.7724609375
2018-01-18,7975.0,7875.0,7900.0,7900.0,7602900.0,6484.72998046875
2018-01-19,7925.0,7850.0,7925.0,7925.0,6292200.0,6505.2509765625
2018-01-22,8100.0,7925.0,7925.0,8075.0,19058300.0,6628.37890625
2018-01-23,8125.0,8000.0,8075.0,8125.0,14253300.0,6669.42138671875
2018-01-24,8125.0,8025.0,8025.0,8075.0,7079200.0,6628.37890625
2018-01-25,8100.0,7900.0,8075.0,8000.0,7476600.0,6566.8154296875
2018-01-26,8075.0,7975.0,8000.0,8075.0,3990400.0,6628.37890625
2018-01-29,8100.0,7975.0,8100.0,8075.0,6652900.0,6628.37890625
2018-01-30,8125.0,7800.0,8125.0,7800.0,11507100.0,6402.64453125
