Date,High,Low,Open,Close,Volume,Adj Close
2017-12-04,3350.0,3260.0,3330.0,3300.0,133236100.0,2828.2177734375
2017-12-05,3360.0,3310.0,3340.0,3350.0,65374200.0,2871.069580078125
2017-12-06,3470.0,3340.0,3350.0,3460.0,166654900.0,2965.343505859375
2017-12-07,3470.0,3380.0,3460.0,3380.0,57218100.0,2896.78076171875
2017-12-08,3430.0,3370.0,3400.0,3370.0,65653200.0,2888.2099609375
2017-12-11,3440.0,3410.0,3430.0,3440.0,66901400.0,2948.20263671875
2017-12-12,3460.0,3410.0,3450.0,3450.0,61413100.0,2956.773193359375
2017-12-13,3450.0,3420.0,3450.0,3450.0,43015500.0,2956.773193359375
2017-12-14,3460.0,3390.0,3430.0,3460.0,96228400.0,2965.343505859375
2017-12-15,3460.0,3380.0,3460.0,3390.0,114011200.0,2905.35107421875
2017-12-18,3400.0,3350.0,3390.0,3390.0,69279000.0,2905.35107421875
2017-12-19,3440.0,3390.0,3430.0,3440.0,90867800.0,2948.20263671875
2017-12-20,3460.0,3390.0,3460.0,3400.0,75330200.0,2913.92138671875
2017-12-21,3460.0,3410.0,3440.0,3420.0,68727700.0,2931.062255859375
2017-12-22,3470.0,3410.0,3430.0,3460.0,66126700.0,2965.343505859375
2017-12-25,3460.0,3460.0,3460.0,3460.0,0.0,2965.343505859375
2017-12-26,3460.0,3460.0,3460.0,3460.0,0.0,2965.343505859375
2017-12-27,3550.0,3460.0,3470.0,3550.0,83657200.0,3042.4765625
2017-12-28,3650.0,3560.0,3580.0,3630.0,92953000.0,3111.039794921875
2017-12-29,3720.0,3580.0,3650.0,3640.0,107708500.0,3119.610107421875
2018-01-01,3640.0,3640.0,3640.0,3640.0,0.0,3119.610107421875
2018-01-02,3720.0,3610.0,3690.0,3630.0,91127100.0,3111.039794921875
2018-01-03,3630.0,3560.0,3630.0,3610.0,70148700.0,3093.89892578125
2018-01-04,3610.0,3460.0,3610.0,3550.0,156406300.0,3042.4765625
2018-01-05,3590.0,3520.0,3550.0,3590.0,87095600.0,3076.758056640625
2018-01-08,3590.0,3560.0,3590.0,3590.0,54559100.0,3076.758056640625
2018-01-09,3600.0,3530.0,3600.0,3570.0,90606700.0,3059.61767578125
2018-01-10,3590.0,3500.0,3580.0,3530.0,116409100.0,3025.3359375
2018-01-11,3540.0,3480.0,3540.0,3540.0,114378900.0,3033.906494140625
